idMeme,nombreImagen,URL,Cuenta,Shares,MeGusta,MeEncanta,MeDivierte,MeAsombra,MeEntristece,MeEnoja,PRI,PAN,MORENA,INDEPENDIENTE,POSITIVO,NEGATIVO,NEUTRAL,textoDentroImagen,textoPublicacion,localización cuenta,Comentario1,URLComentador1,LocalizacionComentario1,Comentario2,URLComentador2,LocalizacionComentario2,Comentario3,URLComentador3,LocalizacionComentario3,Comentario4,URLComentador4,LocalizacionComentario4,Comentario5,URLComentador5,LocalizacionComentario5,NombreEquipoDelfin,Observaciones
11,meme12.jpg,https://www.facebook.com/photo.php?fbid=622762144757849&set=a.312677822432951.1073741829.100010722074102&type=3&theater,Edgar Mondragon,8722,157,55,491,0,0,2,1,0,0,0,0,1,0,"PRI el pueblo te ama, te amandado a chingar a tu madre",n/a,Toluca,No mames el pueblo no son dosmil personas que están haciendo berrinche 😂😂😂😂 no sean ridículos enlaces federal habla lo que quieras aquí son gente que no tienen nada que hacer en su casa,https://www.facebook.com/wendowankiixoo?fref=ufi,n/a,100% real,https://www.facebook.com/RoxannaCruz?fref=ufi,Villahermosa,Wacha esa referencia,https://www.facebook.com/angeldavid.delacruzhernandez.7?fref=ufi,Nacajuca,"Aquí si te amamos, ya nos dejaron las calles de la chingada los del pan:(",https://www.facebook.com/ana.luna.5458?fref=ufi,Altamira,como si terminar siendo un pais socialista fuera a ayudar :V al contrario solo empeoraran las cosas solo digo :v,https://www.facebook.com/kevinfrancisco.lopez.9?fref=ufi,CDMX,Culichi Tec,n/a
12,meme13.jpg,https://www.facebook.com/MemesdelaRana/photos/p.2072022306405098/2072022306405098/?type=1&opaqueCursor=AboYIo8jWay1rMPRwdNy7nREFYP9ihJkYtS_8Fh--yg_6C0rddnYH3FGtoOKDE_qKrt79LVhGFh1zU-kQhQJycGEwL9GvzOtsbT2EE7iKzw76kzUMn2H8iZeg2sAGj0UlrzmYz8sbsdvwmjT-91vIYNwPFGME9MMlPf7zHcegE8D8nSHHXKE5UXVruxdWEzN9bZrOKpkakojl_AN3lw0LZPIQXLwnStm0F03Xas88FyxZ-Ui0xQHEch0IKcizyPf9CyUGmFXK1918D2ND-zr0fyGwWx8U8ZX_Apc2ULIm6pFjeOk4-4bTEtbWZiyjzJhdq2ubJmZrBz8pV6ufRu8M4w32uNP9ec8eAzU8MOuoC6_9rO6uPSEpIT3YPPn5r-fR-FaBfuPj7H9jB8QHjmfO7eyelvewxeEFiW9xv8cbh2uPSTXy4aJW-9LgFqvWi6ECyf4HQMZnnVzT57I4wRsEvsPKO_zpd-pYyc_37Roffy5DGTTKKRLDX57UgZVCcEE5Wg&theater,Memes de la rana,24,35,2,77,0,0,0,0,0,0,1,0,0,1,"Yo tengo un programa que se llama FBI, Facebook Bronco Investigation",Es el creador de los memes del bronco !!!,n/a,"Tan siquiera se preocupa, por saber que es lo que pensamos y queremos, ojo,",https://www.facebook.com/maricela.diaz.1069?fref=ufi&rc=p,n/a,Sabía que esto iba a estar aquí 😅😂cuando lo dijo,https://www.facebook.com/nandiito.love.5?fref=ufi&rc=p,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Culichi Tec,la pagina tiene 896000 likes
13,meme14.jpg,https://www.facebook.com/SoyHidalgoysoyBronco/photos/p.1813984912231228/1813984912231228/?type=1&opaqueCursor=Abq1QV_jFu_XSxXlS0T0q97_y2Yp_VlY5bHUTemcycI5PLeBU3i9rjg8hau5LKBAEsVpNCc6F_naR2IYbgDteR07lH35T-LaBIom2R4ju85KSa6gwAFSLMTN7Ngo3zcGXlaZRY9g4eDrW9lnwiV2GsuYf88HNwOMGRZrbLttpk13lU0FJRBaLoO6c_t3GpCIiRvH8Ez1eZZPZ04ARC1J0-CNhksUfLAyAmnn5QK1EgaBed8IFRaKRNM8cLbV0MozElb_6aek3J1Su2PlLzws0EBTknhiOjoR-1CN-zgzPJV7AUNtLc01PATlePNjVlO51RNYqgmjBOkPN7ZFVOL-hQrhpIp1jmrpBRRhIUihLTkQxJg6hecKzhPpQ7JmxxkI8DnVR1iCUwspR0yKh9zDLTFe-y4MY0-tPldEokw5BnpD565LIe-2Dskl1N94a2DoW40&theater,Soy Hidalgo y soy Bronco.,7,4,1,3,0,0,0,0,0,0,1,0,0,1,Cuando te agarran el gansito que dejaste en el congelador. Hay que mocharles las manos,n/a,Hidalgo,Jeann Bañuelos ASI TE VA A PASAR HEMANA JAJAJAJA,https://www.facebook.com/jeannette.banuelos.9?fref=hovercard&hc_location=ufi,CDMX,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Culichi Tec,La pagina es un movimiento en Hidalgo para votar por el bronco
14,meme15.jpg,https://www.facebook.com/MEMEcraciaMX/photos/p.335796216794056/335796216794056/?type=1&opaqueCursor=Abqbab1PjmzZ3cI3Nl5Xk3ELXFrXKxS8V1oQcmk99YVCJjUrp2JjwiMNIhbTpojLMihc4S_57W2G3NUkNrcHA5u8TzERey5XVJCXjnhK6WF_6NokPfKo3Wv48PoUHDIE4Vv-qH8g9Q79ZvOSyJpTTXeSpvTphsL0bYV2C-tpNgP6uSxrbKqyxEcjWnwmFg2hGBk_c4HW-2KhMqmTfvoruhwfj7ZyZDjSFDhYv7_Gd-bkTxXL9BCTKcUq_OFuFJcRFEdnRif0TDUYxDo3Ys0CAH2q2LRF0l9Njof5yBde-AlOnoQ8CgR_i09YZfZBOYN9YKScsJPMk2VVYXF_V2fhL3LyhyyT8yAD8Z534jzk9SA0pW3xaXT31rQHYChyXEVWrUYA4nGvBOhrf5hqvT5wiKMmwupgkejVRupanAdTDvJIjg&theater,MEMEcracia,104,0,0,16,2,1,0,0,0,1,0,0,1,0,"AMLO: Si sube el dolar no afecta, porque en mexico usamos pesos ",Así es como #AMLO calma a la chairiza #Memes#EleccionesEU #Chairo #Morena #Pejezombie,n/a,No manchen jaja el nunca ha dicho cosas así 😂😂😂😂😂,https://www.facebook.com/Ycnap?fref=ufi&rc=p,n/a,La ignorancia de usar el hashtag con la palabra Chairos,https://www.facebook.com/axel.r.silva?fref=ufi&rc=p,CDMX,a dicho cosas peores,https://www.facebook.com/regina.villeda.16?fref=ufi&rc=p,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Culichi Tec,"Pagina de memes pequeña, quiza abandonada"
15,C_Meme16.png,https://www.facebook.com/pejendejadas/photos/a.714548002012394.1073741828.711209525679575/1307845879349267/?type=3&theater,PEJEndejadas,2237,1000,51,1003,6,4,5,0,0,1,0,0,1,0,"AMLO: ¡Quiten esos ventiladores, sólo quitan la belleza del paisaje!. Sujeto: Pero papá, es energia eólica.",Lo que sabe de energía eólica,n/a,"Un farsante como Lopez Hablador, NO Puede ser la salvación de México, todo lo contrario un peligro para la Nación y todos sus Ciudadanos.",https://www.facebook.com/profile.php?id=100004320006412&fref=ufi&rc=p,n/a,"Bueno,a todas las preguntas...medio,no más bien,contestó un cuarto de pregunta...terrible chairo...da sueño...no contestó nada,como siempre...las cuentas no salen,por más que les de atole con el dedo...",https://www.facebook.com/profile.php?id=100004605096649&fref=ufi&rc=p,n/a,https://www.facebook.com/profile.php?id=100004605096649&fref=ufi&rc=p,https://www.facebook.com/sandra.guerrero.g?fref=ufi&rc=p,n/a,Tambien es un peligro para la humanidad una persona ke kiere seguir construyendo refinerias y seguir elevando la contaminacion.acaso no sabra ke ya hay autos electricos? O ya tiene constructora apalabrada???,https://www.facebook.com/diego.maya.336?fref=ufi&rc=p,Estado de México,"Bueno al,menos nos salvamos de oír por millonésima vez lo del puto avion que no tiene Obama...",https://www.facebook.com/profile.php?id=100004605096649&fref=ufi&rc=p,n/a,Apatzingán,Página de memes de AMLO donde se rien de él
16,C_Meme17.jpg,https://www.facebook.com/pejendejadas/photos/a.714548002012394.1073741828.711209525679575/1331027610364427/?type=3&theater,PEJEndejadas,501,356,12,591,2,1,2,1,0,1,0,0,0,1,"El de los esquites pasa los jueves, págale con cambio porque si no se enoja",Siempre con cambio,n/a,"Ahora sí mis chairines piden prudencia, congruencia, voto de confianza, unión y amor, pero qué tal en los dos sexenios pasados que su mesías no ganó, me gustó su congruencia y mesura, ahora se indignan por un comentario o un meme se rasgan la ropa, chairos mamadores, a caso nosotros andamos haciendo desmadres, saqueando Oxxos, plantones, bloqueos, nosotros aceptamos la decisión de los pendejos, al final la mafia del poder fue la ganona, porque ustedes seguirán como pendejos dependiendo de las migajas que les tire este sujeto, así que paren de mamar, que nosotros solo nos burlamos de su pendejes, hay se ven mis chairos ofendidos, se tragan las tortas de frijol con gorgojo y que les aprovechén las carnitas agrias, a ver si les alcanza para vivir todo el sexenio que es lo único que les va tocar.",https://www.facebook.com/juan.romero.92798?fref=ufi&rc=p,Xalapa-Enríquez,Me hubiera gustado estar en esa reunión seguramente Andrés Manuel le diría ignorante a Peña Nieto y le diría que es parte de la mafia del poder y Qué es un corrupto cómo me lo perdí lo hubieran grabado para transmitirlo🤔🤔🤔🤔🤔Tal vez hasta de muerte lo amenazo Cómo algunos amlovers lo hicieron con Los Seguidores de otros candidatos en estas elecciones,https://www.facebook.com/EriGomezLuna?fref=ufi&rc=p,n/a,"Para los que creen que el PRI ya se fue, sólo cambio de nombre y se repotencio, dejando muerto al PRD y bastante herido al PAN",https://www.facebook.com/dante.murillobastien?fref=ufi&rc=p,n/a,"Se que no tiene nada que ver, pero si tienen tiempo, lean lo que hizo el gran Calígula cuando tomo el poder en Roma y que paso tiempo después... Roma tuvo una gran transformación...",https://www.facebook.com/profile.php?id=100001791585974&fref=ufi&rc=p,"Ecatepec, Morelos, México",Tiempo!,https://www.facebook.com/nereida.fuentes.509?fref=ufi&rc=p,n/a,Apatzingán,Página de memes de AMLO donde se rien de el positivamente
17,C_Meme18.jpg,https://www.facebook.com/Todomecoesevato/photos/a.1508552945919050.1073741829.1508491465925198/1721725917935084/?type=3&theater,Todo meco ese vato,18053,567,281,3000,3,1,3,0,0,0,1,0,0,1,When sales del debate después de haber hecho reír  a todo el país,n/a,n/a,El campeón después bajarse del ring felicidades Bronco,https://www.facebook.com/maconcepcion.ortiz.313?fref=ufi&rc=p,"Texmelucan, Puebla, México, Reynosa",Jajaja nuevo Peña,https://www.facebook.com/elliotleo.meridarosas?fref=ufi&rc=p,Ciudad de México,"El unico logro de Lord Peña y el bronco no se quiere quedar atras, eso es haciendonos reir a todos los mexicanos",https://www.facebook.com/profile.php?id=100010362041752&fref=ufi&rc=p,"Chillancito, Bio-Bio, Chile",Yo después de haberte hecho reír día tras día,https://www.facebook.com/profile.php?id=100010923182283&fref=ufi&rc=p,Coahuila,when te sacaba paty frías despues de hacer reir a todo el salon**,https://www.facebook.com/veva.cg?fref=ufi&rc=p,Celaya,Apatzingán,Página de malos momos
18,meme19.jpg,https://www.facebook.com/IME2K/photos/a.340126109810141.1073741828.340125466476872/366583540497731/?type=3&theater,Instituto del meme electoral,91,119,7,331,1,0,1,1,0,0,1,0,0,1,Como cuando se te junta el ganado,😂😂 en el antro,n/a,"Mira, cuando se juntan tu y la raices en el gym con ya sabes quien Ani Gaona",https://www.facebook.com/juan.mena.562?fref=ufi&rc=p,n/a, Claudia Nice sorry tenia que etiquetarte. Jajaja te amo bye 😂🙊,https://www.facebook.com/alondra.gutierrez.988?fref=ufi&rc=p,n/a,Alma MarianaPaloma nunca lo superaré JAJAJAJAJS,https://www.facebook.com/karlagisela.glz893?fref=ufi&rc=p,n/a,"Jenny Arana jajajajaja, automaticamente me llegó a la mente jajajaja🙄",https://www.facebook.com/alfredo.loez?fref=ufi&rc=p,n/a,Claudia Salazarnosotras somos JAJAJAJAJAJAJA,https://www.facebook.com/alejandraportillo.0118?fref=ufi&rc=p,n/a,Culichi Tec,
19,C_Meme21.jpg,https://www.facebook.com/AMLOC0/photos/a.773616982828923.1073741828.773441499513138/795713147285973/?type=3&theater,Amloco,10000,1008,161,8005,16,39,0,1,0,1,0,0,0,1,En ese cuarto lloro cuando se pasan de vrga con los memes,Sigue a Amloco,n/a,"Que paso Padrino, porque lo borras",https://www.facebook.com/cristian.uriel.714049?fref=ufi&rc=p,Hobbs, Homero Ortsac el president tieme cuarto para cuando publicas tus memes 🤣,https://www.facebook.com/luisaruizm?fref=ufi&rc=p,El paso,wee te voy a etiquetar en todos los que vea de estos ?!,https://www.facebook.com/jennifer.zuppa.73?fref=ufi&rc=p,n/a,JAJAJA me acorde de lo que dijiste de tu abuelo ,https://www.facebook.com/felipede.jesus.7393?fref=ufi&rc=p,Mexicali,haciendo de lado nuestra pelea eso me recordó a nuestra platica,https://www.facebook.com/joselyn997?fref=ufi&rc=p,Ciudad de Guatemala,Apatzingán,Página que solo habla a favor de AMLO
20,meme21.jpg,https://www.facebook.com/MEMESELECTORAL3S/photos/p.256760344897455/256760344897455/?type=1&opaqueCursor=Abr1pViz4jFQN4NWTlvMfVHsxfNTJpUP6NeqcDcWd5VpumsqENQCcZ0dLqt5yqgSmOCmZv-DsgxXECp-CmhTK96e8TihdEmwKHd_6J5IrbuEAcFY3yU9IhBZ-MjpkvERVhEM9iV2utGIWeAcfm5WGJ7bf72E0Td1bi4jpGMWhuswvsd3hBaOsE0SgZrs2Huko_ZNdKfAqIQlOUaguEXkYh3D99T7ok_xSgDJkkddtjIdDd8pCPkd2Vu3kEj2R1qdTmnk799CeK2K5X6OALM2VOR98Z4RNZ9fOFHj_XtXQ03WCGD_2AWgCVkwyo2-EgIAocBwInOD5OurNUmiDgsQjWkE3sPBVhmV91-jcUtNKAv2gtdvmM4iciKYs59qJdEmBHK0XXSiv2eYommiv5r-RNPRAsBufGXZk5Pgq7yvuRtvLkqINNk9y3F8HcEg1r34ad02ZVKTWulfi_SLDhy1TqcKkg_f3_McTNvm4sBiZhWgzVjbWqV5kROvVWLmeMoeUNE&theater,MEMES Electorales,3,2,0,20,0,0,0,0,0,0,1,0,1,0,Margarita Zavala viendo el debate,n/a,n/a,Haelyn KennedyJAJAJAJJAJA,https://www.facebook.com/profile.php?id=100001821645723&fref=ufi&rc=p,Tijuana,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Culichi Tec,La pagina tiene 2376 me gusta
21,MemeBeso.jpg,https://www.facebook.com/MEMESELECTORAL3S/photos/p.264633777443445/264633777443445/?type=1&opaqueCursor=Abr8eRya9ICLIs-qs_LNYpF2DwDGifRj_p5_PFtZyuP17CZux8wbRG0XN2BUbnOOhaMlf7uV72sti7x8oXDg1P87hT5whrg8UIomHvVYRQKNf1s-HmvIt4vir0LP6Nhk72VYcy73SpYlgXA0OC_DIv7gGE5qjJAt4LsROg-RYpt_w1gWscggQlcYHPhbM9nwKvdORFKfCbyF3dtV-VCt7ce_geNXKKvlwDPN-ndtS-nuC9wOK9rhOM0bkEF64KOxm1GB-fJbW91gJaHf2s7AQO29MdN-zeDs5kL23iAGLGW1Qc6vvp22IyRoj7A-1Z09eJIjnJyr3Kg741Tnrfv50GEIAt4KgzCicsCjKz8kzokLdfKp0ZEs2o_iKnSMAlBh12HHuW1c4aVukXHMxOwOjpZMpD-bxNyGQNgI5Qt4L8DNiQ&theater,MEMES Electorales,7,4,1,16,0,0,0,0,1,1,1,0,0,1,¡Ya dense un beso!,n/a,n/a,Maria,https://www.facebook.com/MarcoGarcia525?fref=ufi&rc=p,n/a,JAJAJAJA nmms,https://www.facebook.com/mariafernanada.vogtschmidtrojas?fref=ufi&rc=p,Santa Cruz de la Sierra,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Culichi Tec,n/a
22,Memeee.jpg,https://www.facebook.com/128159781249337/photos/p.247549642643683/247549642643683/?type=1&opaqueCursor=AbqlmQQrd3nytUhFs2AcLiWRtcKDvRUK7zfarQSbW4aFHn7m62YNgEl-KkzQjFTuSMKyWj4l7dqF_gCsVwBLYaWDXO9lSL7XY1rHAcfS1IF0QHMisqkKpCcDB9ph-CtRI6RNOJZl0cDHZ_k40v_cVbQ-3qHZC6ER3qmOS5sPBydtM9vxM9KF9kSa84LKF0M29XzzxY__BrTumi1opLVthLH8ggu1YD7_CFbIDS46_dhz6NGUYQhyhzj-NTHNI5HMzfa6Xn5Pgv7Wkt0mRtY3CNI8cwe0nbEpdsMRhOkfpFprej57AoY_er1hmfpZjDrGebyZbkr3VSkNgJQ9psScAfQdWhsa_XWNu1oSpQO5zYSahgMwGrNvoUL2XbE2lIhZ1r-eghbhBuFAaG8VxNC3Q__p5DMQNjlxAVabf_4b_3MzFzCslG9QY8EchQWQpdCTyvoL4kNATKphzXWWYuyOvvt9&theater,Jalberebel,7,2,0,3,0,0,0,1,0,0,0,0,0,1,NO ME QUIERO IR MEXICO QUIEN LES DARA TANTOS MEMES,Nooooooo se nos va #peñabebe quien nos alimentará de buenos memes #peñanieto#elecciones #elecciones2018 #mexico #ine #amlo#meade #anaya,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Culichi Tec,Pagina Deportiva
23,MemesSim.jpg,https://www.facebook.com/Pachuca.Informa/photos/p.1982536608446809/1982536608446809/?type=1&opaqueCursor=Abqd5rhgNYK7O1mN_mN1n-ZlPQa9O3ifxfKajhy5MXdogoYa8X7YjCL8LPVJ8ton1l5vStLGyjklCJOmKP9JZ_et_730Ca6yWwsEpKeany0ccJ8Dq_gibbj0ewl9OlD2syGIn2wUHxtTjQ0prur1236Da9dvQrvLA8pI6f9LhUeylLuVzx1Vaj5zDxH9A9QzoF560_CMBFwoQ_H8x84uG25MNuDXYC8ArfXZtus0Xq87fr-6SbwvUo1Dv4iNN8Lyi17eXy-IKDCcVKrvoD1avVcnEDyNxXB2qD7SLzfMy0gPah4tOLJ_4XcCP_KTFLL3vnDgiC2uss9k97SG6xa0QcbSc3ek_eLgKwrt0iMi0P2KMZDVw4ZKRCBZVd-dUI-vb97iRQHFxe59yzTsM70VJaOfvHqgJJPGrAgTMjskZ0OmMg&theater,PACHUCA INFORMA,17,41,10,5,10,0,0,0,0,1,0,0,0,1,Como cuando los Simpson predicen AMLO presidente 2018,n/a,Pachuca de Soto,Siiiii ganamos,https://www.facebook.com/orlando.baltazar.397?fref=ufi&rc=p,n/a,Los Simpson son cabrones,https://www.facebook.com/frank.puga1?fref=ufi&rc=p,n/a,Y lo que falta....,https://www.facebook.com/Shandhi.yo?fref=ufi&rc=p,n/a,Orlando Baltazar te dije😂😂😂😂😂,https://www.facebook.com/laura.cerontolentino?fref=ufi&rc=p,Hidalgo,n/a,n/a,n/a,Culichi Tec,Pagina de Pachuca
24,MemeBronco.jpg,https://www.facebook.com/memesdebate2018/photos/p.1740267582715576/1740267582715576/?type=1&opaqueCursor=Abo8r9oGB-Hbwb3PjbcMP8BCZyZr3b63UAV24fSGpexXSQAAaZoFe-46J808kQ1NhHXvzyTi5SrMRDgFnl86aMlljJXVdh_lxRk6qFiQoqQcE-ShCPBM0m5jn92ddS_r8uigqYpbNjqnwAKbqFVMT5oi2yMvWx_pygm4Vl8ewJYEqvqBq3i_97hzM8YTxnOA8vnUJ0WvNsl3rJOHSiVK4Z7-KnrD81o4YcSWqXKbAcbgZquc4_HGqrsSdGNPrLdPN70RHFDkWVOBTuxzby0HxnWbnQRFXBM83AIVkhm-_Ma5GnfjHBpIBdgDKcz97pBKSMGEhFWIWOv6zrSEYrTRzkdL0A3WkaP07B7zOHM-R8ZTizKYcgGGJ34AG2YiQeblOlNCDyPwEhS6SIuoYq8WZA_fcOAt4123XieZADwwsOJT1PeDV0oWUeTP4hnxnNKn1JW0Y8g0JpIw28Vmj5EH6efU&theater,Memes Mexico,76,36,3,67,0,0,1,0,0,0,1,0,0,1,Facebook Bronco Investigueichons,#memesDelDebate2018 #memesElecciones#Bronco #tercerDebate2018 #FBI,n/a,Jonnathan RZ bronco se la rifa siempre 👌,https://www.facebook.com/rogelio.avila.948?fref=ufi&rc=p,Michoacan,FBI,https://www.facebook.com/profile.php?id=100007616898807&fref=ufi&rc=p,Ciudad de México,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Culichi Tec,Pagina de Memes Electorales
25,C_Meme26.png,https://www.facebook.com/NIUNVOTOALPRIMX/photos/a.263569394171472.1073741828.263536104174801/298119317383146/?type=3&theater,Ni un voto al PRI,36,62,1,5,0,0,0,1,1,1,0,1,0,0,"Ahí esta su empate técnico panista. Hoy en catedral, Culiacán, Sinaloa.","Claramente podemos ver en esta encuesta ciudadana el ""empate técnico"" entre él y AMLO.",n/a,Para que mas PRI Macuarros si Andrés Manuel Refugio en Morena a una Buena Partida se Sinvergüenzas que Justamente Venían del PAN PRI y PRD,https://www.facebook.com/alcides.escolastico.3?fref=ufi&rc=p,n/a,Cuál empate lo disen para ha ser creer ala gente,https://www.facebook.com/profile.php?id=100011011506834&fref=ufi&rc=p,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Apatzingán,Página donde esta en contra del PRI
